Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2011-11-23,16.05,16.05,15.15,15.3,15.4204136691,133440.0,518.0,2057700.0,81493.0,61.07,0.9,-0.75
2011-11-24,15.35,15.4,14.95,15.3,15.1482374046,92534.0,353.0,1401727.0,50462.0,54.53,0.45,-0.05
2011-11-25,15.3,16.0,15.15,15.4,15.592240089,78171.0,433.0,1218861.0,37606.0,48.11,0.85,0.1
2011-11-28,15.8,16.2,15.55,16.0,15.9635473935,137329.0,1339.0,2192258.0,53129.0,38.69,0.65,0.2
2011-11-29,16.2,16.2,15.6,15.65,15.7804362656,60101.0,287.0,948420.0,23644.0,39.34,0.6,-0.55
2011-11-30,15.65,15.85,15.4,15.7,15.5750471483,61508.0,387.0,957990.0,29945.0,48.68,0.45,0.05
2011-12-01,16.0,16.5,15.75,15.85,15.9681214475,70549.0,343.0,1126535.0,39391.0,56.0,0.75,-0.15
2011-12-02,15.85,16.1,15.65,15.95,15.9150926691,33884.0,194.0,539267.0,19326.0,57.04,0.45,0.1
2011-12-05,16.05,16.2,15.65,15.8,15.9623482135,57235.0,331.0,913605.0,34835.0,60.86,0.55,-0.25
2011-12-07,16.0,16.0,15.75,15.75,15.8584835595,44433.0,292.0,704640.0,18494.0,41.62,0.25,-0.25
2011-12-08,15.9,15.9,15.35,15.4,15.5110986976,34013.0,179.0,527579.0,15831.0,46.54,0.55,-0.5
2011-12-09,15.25,15.5,15.15,15.35,15.2966316668,31143.0,222.0,476383.0,20326.0,65.27,0.35,0.1
2011-12-12,15.3,15.5,14.75,15.0,15.0409124907,53480.0,301.0,804388.0,37661.0,70.42,0.75,-0.3
2011-12-13,15.0,15.05,14.7,14.75,14.8824356383,170715.0,227.0,2540655.0,156579.0,91.72,0.35,-0.25
2011-12-14,14.0,15.0,14.0,14.5,14.6157496816,48674.0,181.0,711407.0,25682.0,52.76,1.0,0.5
2011-12-15,14.4,14.55,13.5,14.0,14.0612162391,76679.0,378.0,1078200.0,43695.0,56.98,1.05,-0.4
2011-12-16,14.15,14.35,13.25,13.35,13.776431222,93242.0,310.0,1284542.0,51284.0,55.0,1.1,-0.8
2011-12-19,13.25,13.25,12.4,12.7,12.8026342573,83515.0,356.0,1069212.0,42924.0,51.4,0.85,-0.55
2011-12-20,12.6,12.9,12.4,12.75,12.6736579131,34424.0,178.0,436278.0,19620.0,57.0,0.5,0.15
2011-12-21,13.2,13.2,12.75,12.85,12.8707077911,28045.0,165.0,360959.0,14555.0,51.9,0.45,-0.35
2011-12-22,12.9,13.0,12.6,12.95,12.8293854383,36644.0,137.0,470120.0,26654.0,72.74,0.4,0.05
2011-12-23,13.05,13.4,12.95,13.15,13.1689291101,43095.0,265.0,567515.0,15639.0,36.29,0.45,0.1
2011-12-26,13.05,13.45,12.75,13.35,13.3044802088,25289.0,164.0,336457.0,16249.0,64.25,0.7,0.3
2011-12-27,13.4,13.4,12.8,12.85,13.1043004573,40019.0,141.0,524421.0,25170.0,62.9,0.6,-0.55
2011-12-28,12.85,12.85,12.3,12.35,12.486201706,53811.0,194.0,671895.0,29871.0,55.51,0.55,-0.5
2011-12-29,12.45,12.8,12.3,12.45,12.5144888074,34889.0,213.0,436618.0,11456.0,32.84,0.5,0.0
2011-12-30,12.85,12.9,11.8,11.95,12.1480240278,94890.0,425.0,1152726.0,62077.0,65.42,1.1,-0.9
2012-01-02,11.9,12.25,11.82,12.03,11.986512774,23133.0,164.0,277284.0,12359.0,53.43,0.43,0.13
2012-01-03,12.1,13.45,12.1,12.91,12.9016722645,339121.0,698.0,4375228.0,254185.0,74.95,1.35,0.81
2012-01-04,12.9,13.12,12.7,12.79,12.9256706059,42648.0,274.0,551254.0,17279.0,40.52,0.42,-0.11
